Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
BruteForce | 0,033194 | 33,193600 | 33193600,000000 | 0,3,5,7,2,6,1,8,4 | 778
BruteForce | 0,031996 | 31,996300 | 31996300,000000 | 0,1,4,6,2,7,3,8,5 | 841
BruteForce | 0,030434 | 30,433900 | 30433900,000000 | 0,8,4,3,7,2,1,5,6 | 815
BruteForce | 0,037252 | 37,251800 | 37251800,000000 | 0,1,4,5,2,7,6,3,8 | 943
BruteForce | 0,029893 | 29,892600 | 29892600,000000 | 0,7,6,8,5,4,2,3,1 | 711
BruteForce | 0,033306 | 33,305800 | 33305800,000000 | 0,7,3,8,1,6,2,4,5 | 1117
BruteForce | 0,034251 | 34,251000 | 34251000,000000 | 0,1,2,7,5,4,8,6,3 | 783
BruteForce | 0,027980 | 27,980100 | 27980100,000000 | 0,4,5,1,2,6,3,8,7 | 872
BruteForce | 0,027253 | 27,252800 | 27252800,000000 | 0,7,3,4,6,2,5,1,8 | 864
BruteForce | 0,035676 | 35,675800 | 35675800,000000 | 0,8,3,1,5,4,2,7,6 | 1078
BruteForce | 0,030201 | 30,201400 | 30201400,000000 | 0,1,5,3,6,8,4,7,2 | 766
BruteForce | 0,032970 | 32,970400 | 32970400,000000 | 0,1,5,4,8,2,3,7,6 | 831
BruteForce | 0,030722 | 30,721900 | 30721900,000000 | 0,3,1,4,2,8,7,5,6 | 883
BruteForce | 0,033464 | 33,464100 | 33464100,000000 | 0,7,3,5,6,1,2,8,4 | 832
BruteForce | 0,030321 | 30,320600 | 30320600,000000 | 0,1,5,6,4,3,7,2,8 | 666
BruteForce | 0,034348 | 34,348400 | 34348400,000000 | 0,3,6,2,5,1,7,8,4 | 810
BruteForce | 0,031884 | 31,884200 | 31884200,000000 | 0,5,2,8,1,6,4,3,7 | 884
BruteForce | 0,027495 | 27,495100 | 27495100,000000 | 0,6,3,7,1,2,4,8,5 | 760
BruteForce | 0,047002 | 47,001600 | 47001600,000000 | 0,3,8,2,1,5,6,7,4 | 782
BruteForce | 0,038578 | 38,578300 | 38578300,000000 | 0,2,4,6,3,8,7,5,1 | 793
BruteForce | 0,026229 | 26,229400 | 26229400,000000 | 0,4,1,6,2,8,5,7,3 | 949
BruteForce | 0,031579 | 31,579300 | 31579300,000000 | 0,3,1,2,5,4,6,7,8 | 868
BruteForce | 0,027952 | 27,951500 | 27951500,000000 | 0,6,1,8,3,5,7,4,2 | 677
BruteForce | 0,033623 | 33,623000 | 33623000,000000 | 0,7,1,5,3,2,6,4,8 | 499
BruteForce | 0,030464 | 30,464400 | 30464400,000000 | 0,5,3,2,4,8,6,7,1 | 883
BruteForce | 0,030421 | 30,421000 | 30421000,000000 | 0,7,4,1,8,6,3,5,2 | 720
BruteForce | 0,027637 | 27,636900 | 27636900,000000 | 0,8,2,1,7,4,3,6,5 | 670
BruteForce | 0,027727 | 27,727100 | 27727100,000000 | 0,7,1,8,6,4,3,5,2 | 872
BruteForce | 0,033250 | 33,249500 | 33249500,000000 | 0,5,6,8,2,3,1,7,4 | 709
BruteForce | 0,034989 | 34,989200 | 34989200,000000 | 0,5,6,8,3,1,2,4,7 | 531
BruteForce | 0,033739 | 33,739000 | 33739000,000000 | 0,4,7,6,3,8,2,5,1 | 856
BruteForce | 0,033667 | 33,666800 | 33666800,000000 | 0,4,3,6,7,1,5,2,8 | 523
BruteForce | 0,031122 | 31,122300 | 31122300,000000 | 0,1,8,5,4,6,3,2,7 | 768
BruteForce | 0,027018 | 27,018200 | 27018200,000000 | 0,3,8,7,5,4,6,2,1 | 800
BruteForce | 0,032236 | 32,235700 | 32235700,000000 | 0,2,4,6,5,7,8,3,1 | 746
BruteForce | 0,030072 | 30,072300 | 30072300,000000 | 0,6,3,4,1,7,8,2,5 | 659
BruteForce | 0,028583 | 28,582600 | 28582600,000000 | 0,8,1,7,4,3,2,6,5 | 494
BruteForce | 0,030635 | 30,635200 | 30635200,000000 | 0,7,3,1,6,2,4,8,5 | 497
BruteForce | 0,043525 | 43,524600 | 43524600,000000 | 0,6,1,4,7,2,3,5,8 | 1046
